data from  Hutcheon; J. M.; Kirsch; J. A.; and Garland; T. J.;;
(2002). A comparative analysis of brain size in relation to foraging ecology;;;;;;;
and phylogeny in the chiroptera. Brain; Behavior and Evolution.;;;;;;
Species;Diet;Clade;BOW;BRW;AUD;MOB;HIP
 Rousettus  aegyptiacus ;1;I;136.3;2070;9.88;105.77;125.97
 Epomops  franqueti ;1;I;120;2210;10.44;107.8;159.8
 Eonycteris  spelaea ;1;I;58.7;1310;5.48;67;97.7
 Cynopterus  sphinx ;1;I;48.3;1184.33;4.77;65.27;95.4
 Dobsonia  praedatrix ;1;I;184;3028;7.09;213.43;233.3
 Eidolon  helvum ;1;I;262;4290;12.77;208.7;258.1
 Pteropus  vampyrus ;1;I;1014;9121;16.93;243.54;331.29
 Macroglossus  miniumus ;1;I;14.6;561;2.4;30.05;52.95
 Syconycteris  australis ;1;I;14.7;570;2.13;31.4;53.1
 Nyctimene  albiventer ;1;I;29.7;825;4.56;68.93;81.4
 Rhinolophus  landeri ;2;I;6.3;208;4.88;4.83;20.89
 Hipposideros  commersoni ;2;I;101.9;750;8.79;9.5;27.68
 Aselliscus  stoiczkanus ;2;I;4.9;150;2.72;1.88;11.6
 Triaenops  persicus ;2;I;13.7;271;4.07;5.22;17.4
 Megaderma  spasma ;3;I;22.6;644;10.56;14.25;35.85
 Macroderma  gigas ;3;I;119.8;1704;22.36;21.6;68.9
 Cardioderma  cor ;3;I;26;670;10.81;8.07;32.3
 Lavia  frons ;3;I;23.4;644;10.92;4.35;25.8
 Nycteris  thebaica ;3;I;8.9;323;5.79;3.65;21.65
 Rhinopoma  hardwickei ;3;I;12.9;275;5.2;7.48;20.95
 Craseonycteris  thonglongyai ;3;I;2.56;87;1.84;0.66;4.8
 Desmodus  rotundus ;4;II;36.3;999;9.77;33;42.4
 Diphylla  ecaudata ;4;II;30.9;798;8.3;36.2;41
 Brachyphylla  cavernarum ;1;II;44.5;1196;8.63;42.2;78.8
 Lionycteris  spurrelli ;1;II;9.9;393;3.71;10.3;29.5
 Glossophaga  soricina ;1;II;10.6;414;3.74;12.2;35
 Leptonycteris  curasoae ;1;II;24.5;610;5.57;18.6;44.95
 Anoura  geofroyi ;1;II;16;586;5.2;14.15;41.4
 Phylloderma  stenops ;1;II;46.1;1338;10.2;87.4;91.7
 Phyllostomus  haustatus ;1;II;90.1;1517;12.74;34.33;65.6
 Mimon  crenulatum ;1;II;11.8;326;5.92;7.3;18.2
 Trachops  cirrhosus ;1;II;36.9;1003;16.34;23.5;50.6
 Tonatia  bidens ;1;II;27.67;684.67;13.37;17.96;28.3
 Vampyrum  spectrum ;1;II;173;2587;27.6;92;110.4
 Micronycteris  brachyotis ;1;II;8.98;319;4.19;13.85;17.1
 Carollia  perspicillata ;1;II;17.8;546;5.27;23.55;40.75
 Rhinophlylla  pumilio ;1;II;8.9;356;4.57;18.8;30.3
 Sturnira  lilium ;1;II;20.2;618;4.77;30.77;49.73
 Artibeus  lituratus ;1;II;41;1016;7.21;34.38;54.9
 Uroderma  bilobatum ;1;II;16.2;612;5.98;28.7;42.7
 Vampyrops  vittatus ;1;II;22.6;791;11.56;29.22;52.46
 Chiroderma  villosum ;1;II;26.1;814;7.95;28.75;47.58
 Pteronotus  parnelli ;2;II;20.2;543;5.52;7.98;22.23
 Mormoops  megalophylla ;3;II;15.7;386;4.19;6.66;27.5
 Noctilio  albiventris ;3;III;32.7;597;11.59;13.54;36
 Natalus  tumidirostris ;3;IV;6.9;245;3.28;3.58;27.1
 Furipterus  horrens ;3;IV;3.43;127;2.78;1.37;9.46
 Molossus  ater ;3;IV;33.6;526;7.07;10.26;20.13
 Tadarida  condylura ;3;IV;20.27;367.78;4.94;9.75;18.6
 Molossops  abrasus ;3;IV;19.35;301;5.38;6.93;15.87
 Otomops  martiensseni ;3;IV;41.5;756;11.41;14.3;30.6
 Cheiromeles  torquatus ;3;IV;167;1362;13.2;40.5;61.2
 Saccopteryx  leptura ;3;IV;7.8;228;3.48;1.49;9.21
 Cyttarops  alecto ;3;IV;5.3;175;3.51;0.74;7.96
 Cormura  brevirostris ;3;IV;8.2;219;4.37;2.28;11.2
 Peropteryx  trinitatus ;3;IV;5;149.5;2.81;1.47;7.54
 Rhynchonycteris  naso ;3;IV;3.8;118;2.34;0.91;5.48
 Emballonura  monticola ;3;IV;5.3;166;3.16;1.3;8.93
 Coleura  afra ;3;IV;11.5;257;4.08;3.98;12.4
 Taphozous  saccolaimus ;3;IV;43;671;9.65;10.92;26.38
 Kerivoula  papilosa ;3;IV;5.73;209.67;4.47;2.52;19.02
 Myotis  myotis ;3;IV;7;190;7.5;5.23;16.24
 Miniopterus  medius ;3;IV;11.71;271.22;4.77;5.31;17.28
